"team_name" "Number of Pulls " "year" "playoff" "one_goal"
"157" "Pittsburgh Penguins" 2 2017 TRUE TRUE
"158" "San Jose Sharks" 1 2017 TRUE TRUE
"159" "Vegas Golden Knights" 2 2017 TRUE TRUE
"160" "Washington Capitals" 3 2017 TRUE TRUE
"161" "Winnipeg Jets" 4 2017 TRUE TRUE
"162" "Boston Bruins" 4 2017 TRUE FALSE
"163" "Colorado Avalanche" 1 2017 TRUE FALSE
"164" "Columbus Blue Jackets" 2 2017 TRUE FALSE
"165" "Los Angeles Kings" 1 2017 TRUE FALSE
"166" "Nashville Predators" 2 2017 TRUE FALSE
"167" "New Jersey Devils" 4 2017 TRUE FALSE
"168" "Philadelphia Flyers" 1 2017 TRUE FALSE
"169" "Pittsburgh Penguins" 2 2017 TRUE FALSE
"170" "San Jose Sharks" 1 2017 TRUE FALSE
"171" "Tampa Bay Lightning" 2 2017 TRUE FALSE
"172" "Toronto Maple Leafs" 2 2017 TRUE FALSE
"173" "Vegas Golden Knights" 2 2017 TRUE FALSE
"174" "Washington Capitals" 3 2017 TRUE FALSE
"175" "Winnipeg Jets" 2 2017 TRUE FALSE
"176" "Anaheim Ducks" 12 2018 FALSE TRUE
"177" "Arizona Coyotes" 12 2018 FALSE TRUE
"178" "Boston Bruins" 10 2018 FALSE TRUE
"179" "Buffalo Sabres" 13 2018 FALSE TRUE
"180" "Calgary Flames" 10 2018 FALSE TRUE
"181" "Carolina Hurricanes" 14 2018 FALSE TRUE
"182" "Chicago Blackhawks" 14 2018 FALSE TRUE
"183" "Colorado Avalanche" 12 2018 FALSE TRUE
"184" "Columbus Blue Jackets" 10 2018 FALSE TRUE
"185" "Dallas Stars" 15 2018 FALSE TRUE
"186" "Detroit Red Wings" 21 2018 FALSE TRUE
"187" "Edmonton Oilers" 10 2018 FALSE TRUE
"188" "Florida Panthers" 16 2018 FALSE TRUE
"189" "Los Angeles Kings" 8 2018 FALSE TRUE
"190" "Minnesota Wild" 11 2018 FALSE TRUE
"191" "Montreal Canadiens" 7 2018 FALSE TRUE
"192" "Nashville Predators" 14 2018 FALSE TRUE
"193" "New Jersey Devils" 16 2018 FALSE TRUE
"194" "New York Islanders" 9 2018 FALSE TRUE
"195" "New York Rangers" 16 2018 FALSE TRUE
"196" "Ottawa Senators" 8 2018 FALSE TRUE
"197" "Philadelphia Flyers" 11 2018 FALSE TRUE
"198" "Pittsburgh Penguins" 7 2018 FALSE TRUE
"199" "San Jose Sharks" 9 2018 FALSE TRUE
"200" "St. Louis Blues" 13 2018 FALSE TRUE
"201" "Tampa Bay Lightning" 4 2018 FALSE TRUE
"202" "Toronto Maple Leafs" 12 2018 FALSE TRUE
"203" "Vancouver Canucks" 14 2018 FALSE TRUE
"204" "Vegas Golden Knights" 13 2018 FALSE TRUE
"205" "Washington Capitals" 11 2018 FALSE TRUE
"206" "Winnipeg Jets" 8 2018 FALSE TRUE
"207" "Anaheim Ducks" 4 2018 FALSE FALSE
"208" "Arizona Coyotes" 11 2018 FALSE FALSE
"209" "Boston Bruins" 12 2018 FALSE FALSE
"210" "Buffalo Sabres" 12 2018 FALSE FALSE
"211" "Calgary Flames" 9 2018 FALSE FALSE
"212" "Carolina Hurricanes" 8 2018 FALSE FALSE
"213" "Chicago Blackhawks" 11 2018 FALSE FALSE
"214" "Colorado Avalanche" 11 2018 FALSE FALSE
"215" "Columbus Blue Jackets" 10 2018 FALSE FALSE
"216" "Dallas Stars" 11 2018 FALSE FALSE
"217" "Detroit Red Wings" 14 2018 FALSE FALSE
"218" "Edmonton Oilers" 10 2018 FALSE FALSE
"219" "Florida Panthers" 13 2018 FALSE FALSE
"220" "Los Angeles Kings" 11 2018 FALSE FALSE
"221" "Minnesota Wild" 10 2018 FALSE FALSE
"222" "Montreal Canadiens" 9 2018 FALSE FALSE
"223" "Nashville Predators" 5 2018 FALSE FALSE
"224" "New Jersey Devils" 8 2018 FALSE FALSE
"225" "New York Islanders" 3 2018 FALSE FALSE
"226" "New York Rangers" 10 2018 FALSE FALSE
"227" "Ottawa Senators" 10 2018 FALSE FALSE
"228" "Philadelphia Flyers" 17 2018 FALSE FALSE
"229" "Pittsburgh Penguins" 8 2018 FALSE FALSE
"230" "San Jose Sharks" 7 2018 FALSE FALSE
"231" "St. Louis Blues" 7 2018 FALSE FALSE
"232" "Tampa Bay Lightning" 5 2018 FALSE FALSE
"233" "Toronto Maple Leafs" 7 2018 FALSE FALSE
"234" "Vancouver Canucks" 4 2018 FALSE FALSE
"235" "Vegas Golden Knights" 10 2018 FALSE FALSE
"236" "Washington Capitals" 8 2018 FALSE FALSE
"237" "Winnipeg Jets" 8 2018 FALSE FALSE
"238" "Boston Bruins" 5 2018 TRUE TRUE
"239" "Carolina Hurricanes" 2 2018 TRUE TRUE
"240" "Colorado Avalanche" 3 2018 TRUE TRUE
"241" "Columbus Blue Jackets" 1 2018 TRUE TRUE
"242" "Dallas Stars" 3 2018 TRUE TRUE
"243" "Nashville Predators" 1 2018 TRUE TRUE
"244" "New York Islanders" 2 2018 TRUE TRUE
"245" "Pittsburgh Penguins" 1 2018 TRUE TRUE
"246" "San Jose Sharks" 3 2018 TRUE TRUE
"247" "St. Louis Blues" 2 2018 TRUE TRUE
"248" "Tampa Bay Lightning" 3 2018 TRUE TRUE
"249" "Toronto Maple Leafs" 1 2018 TRUE TRUE
"250" "Vegas Golden Knights" 1 2018 TRUE TRUE
"251" "Washington Capitals" 1 2018 TRUE TRUE
