"Team" "Comeback%" "Comeback_oppertunities" "Meltdown%" "Meltdown_oppertunities" "year" "playoff"
"115" "Pittsburgh Penguins" 0 6 0.222222222222222 9 2019 FALSE
"116" "San Jose Sharks" 0 12 0.0909090909090909 11 2019 FALSE
"117" "St. Louis Blues" 0 10 0.142857142857143 14 2019 FALSE
"118" "Tampa Bay Lightning" 0.142857142857143 14 0.0555555555555556 18 2019 FALSE
"119" "Toronto Maple Leafs" 0.214285714285714 14 0.125 8 2019 FALSE
"120" "Vancouver Canucks" 0.0909090909090909 11 0.2 10 2019 FALSE
"121" "Vegas Golden Knights" 0.2 10 0.111111111111111 9 2019 FALSE
"122" "Washington Capitals" 0.461538461538462 13 0 14 2019 FALSE
"123" "Winnipeg Jets" 0.125 8 0.0714285714285714 14 2019 FALSE
"124" "Anaheim Ducks" 0.1 10 0 6 2020 FALSE
"125" "Arizona Coyotes" 0.0909090909090909 11 0.142857142857143 7 2020 FALSE
"126" "Boston Bruins" 0.1 10 0 6 2020 FALSE
"127" "Buffalo Sabres" 0.0833333333333333 12 0.2 5 2020 FALSE
"128" "Calgary Flames" 0 13 0.25 8 2020 FALSE
"129" "Carolina Hurricanes" 0 6 0.333333333333333 9 2020 FALSE
"130" "Chicago Blackhawks" 0.125 8 0 6 2020 FALSE
"131" "Colorado Avalanche" 0 5 0 13 2020 FALSE
"132" "Columbus Blue Jackets" 0.181818181818182 11 0.142857142857143 7 2020 FALSE
"133" "Dallas Stars" 0.230769230769231 13 0 2 2020 FALSE
"134" "Detroit Red Wings" 0 7 0 6 2020 FALSE
"135" "Edmonton Oilers" 0 7 0 14 2020 FALSE
"136" "Florida Panthers" 0.142857142857143 7 0.133333333333333 15 2020 FALSE
"137" "Los Angeles Kings" 0.0909090909090909 11 0.3 10 2020 FALSE
"138" "Minnesota Wild" 0.2 10 0.307692307692308 13 2020 FALSE
"139" "Montreal Canadiens" 0.4 10 0.1 10 2020 FALSE
"140" "Nashville Predators" 0.125 8 0.166666666666667 6 2020 FALSE
"141" "New Jersey Devils" 0 13 0.0909090909090909 11 2020 FALSE
"142" "New York Islanders" 0 6 0.142857142857143 7 2020 FALSE
"143" "New York Rangers" 0 8 0.25 8 2020 FALSE
"144" "Ottawa Senators" 0.0909090909090909 11 0.2 5 2020 FALSE
"145" "Philadelphia Flyers" 0.3 10 0 8 2020 FALSE
"146" "Pittsburgh Penguins" 0.166666666666667 6 0.0769230769230769 13 2020 FALSE
"147" "San Jose Sharks" 0.222222222222222 9 0.2 10 2020 FALSE
"148" "St. Louis Blues" 0.3 10 0.125 8 2020 FALSE
"149" "Tampa Bay Lightning" 0 3 0.0833333333333333 12 2020 FALSE
"150" "Toronto Maple Leafs" 0.166666666666667 6 0.166666666666667 12 2020 FALSE
"151" "Vancouver Canucks" 0.166666666666667 6 0.25 4 2020 FALSE
"152" "Vegas Golden Knights" 0.111111111111111 9 0 8 2020 FALSE
"153" "Washington Capitals" 0.2 5 0.0833333333333333 12 2020 FALSE
"154" "Winnipeg Jets" 0.181818181818182 11 0.181818181818182 11 2020 FALSE
"155" "Anaheim Ducks" 0 14 0.2 5 2021 FALSE
"156" "Arizona Coyotes" 0.0833333333333333 12 0 9 2021 FALSE
"157" "Boston Bruins" 0 5 0.166666666666667 18 2021 FALSE
"158" "Buffalo Sabres" 0.125 8 0 8 2021 FALSE
"159" "Calgary Flames" 0.142857142857143 14 0 6 2021 FALSE
"160" "Carolina Hurricanes" 0.0909090909090909 11 0.05 20 2021 FALSE
"161" "Chicago Blackhawks" 0.0666666666666667 15 0.4 10 2021 FALSE
"162" "Colorado Avalanche" 0.25 8 0.142857142857143 21 2021 FALSE
"163" "Columbus Blue Jackets" 0.176470588235294 17 0.230769230769231 13 2021 FALSE
"164" "Dallas Stars" 0.111111111111111 9 0.157894736842105 19 2021 FALSE
"165" "Detroit Red Wings" 0 11 0.153846153846154 13 2021 FALSE
"166" "Edmonton Oilers" 0.111111111111111 9 0.142857142857143 14 2021 FALSE
"167" "Florida Panthers" 0.272727272727273 11 0.125 8 2021 FALSE
"168" "Los Angeles Kings" 0.25 12 0.0769230769230769 13 2021 FALSE
"169" "Minnesota Wild" 0.375 16 0.133333333333333 15 2021 FALSE
"170" "Montreal Canadiens" 0.142857142857143 7 0.285714285714286 7 2021 FALSE
"171" "Nashville Predators" 0 12 0.0666666666666667 15 2021 FALSE
"172" "New Jersey Devils" 0.166666666666667 18 0.4 10 2021 FALSE
"173" "New York Islanders" 0.125 16 0.1 10 2021 FALSE
"174" "New York Rangers" 0 12 0.0625 16 2021 FALSE
"175" "Ottawa Senators" 0 13 0 10 2021 FALSE
"176" "Philadelphia Flyers" 0.0625 16 0.111111111111111 9 2021 FALSE
"177" "Pittsburgh Penguins" 0 10 0.0909090909090909 11 2021 FALSE
"178" "San Jose Sharks" 0.142857142857143 14 0 11 2021 FALSE
"179" "Seattle Kraken" 0 14 0 8 2021 FALSE
"180" "St. Louis Blues" 0 10 0 8 2021 FALSE
"181" "Tampa Bay Lightning" 0.363636363636364 11 0.2 15 2021 FALSE
"182" "Toronto Maple Leafs" 0.3 10 0 13 2021 FALSE
"183" "Vancouver Canucks" 0 12 0.0833333333333333 12 2021 FALSE
"184" "Vegas Golden Knights" 0.1875 16 0.153846153846154 13 2021 FALSE
"185" "Washington Capitals" 0.142857142857143 14 0.25 16 2021 FALSE
"186" "Winnipeg Jets" 0.272727272727273 11 0.166666666666667 12 2021 FALSE
"187" "Anaheim Ducks" 0.5 2 0.333333333333333 6 2016 TRUE
"188" "Boston Bruins" 0 1 0 1 2016 TRUE
"189" "Calgary Flames" 0 3 0 0 2016 TRUE
"190" "Chicago Blackhawks" 0 1 0 0 2016 TRUE
"191" "Edmonton Oilers" 0.5 2 0.25 4 2016 TRUE
"192" "Minnesota Wild" 0.333333333333333 3 0 0 2016 TRUE
"193" "Montreal Canadiens" 0.25 4 0 0 2016 TRUE
"194" "Nashville Predators" 0.25 4 0 4 2016 TRUE
"195" "New York Rangers" 0 2 0.5 6 2016 TRUE
"196" "Ottawa Senators" 0.4 5 0 4 2016 TRUE
"197" "Pittsburgh Penguins" 0.5 2 0 4 2016 TRUE
"198" "San Jose Sharks" 0 2 0 0 2016 TRUE
"199" "St. Louis Blues" 0 3 0.2 5 2016 TRUE
"200" "Toronto Maple Leafs" 0 1 0 0 2016 TRUE
"201" "Washington Capitals" 0 1 0.5 2 2016 TRUE
"202" "Anaheim Ducks" 0 2 0 0 2017 TRUE
"203" "Boston Bruins" 0 2 0 0 2017 TRUE
"204" "Colorado Avalanche" 0 2 0 1 2017 TRUE
